case_name,experiment,iter,plan_id,exp_date,kernel_metadata,best_speedup
adamw_M10944_N2048,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",1,"('adamw_M10944_N2048_IDf167e5a40fae48029649f1a5eb242e1c', 'plan_3_0')",eval-11-11-11-09-04-11-11-18-30,"{""latency"": 1.888003, ""min_ms"": 1.880762, ""max_ms"": 1.8982400000000001, ""rel_diffs"": 0.009293041862819488, ""hbm_read_bytes"": 358612992, ""hbm_write_bytes"": 89653248, ""psum_write_bytes"": 2818048, ""sbuf_read_bytes"": 95993856, ""sbuf_write_bytes"": 362135552, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 0, ""hfu_estimated_percent"": 0, ""scalar_engine_active_time_percent"": 0.6560984150467546, ""vector_engine_active_time_percent"": 0.9549500066165773, ""gpsimd_engine_active_time_percent"": 0.006407508890790016}",1.0592297787662412
add_rmsnorm_matmul_K1024_M4096_N2048,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",2,"('add_rmsnorm_matmul_K1024_M4096_N2048_ID89d9b703d7e64ea98dfe93f3bf6d19ac', 'plan_10_0')",eval-2-11-11-09-04-11-11-19-12,"{""latency"": 1.054769, ""min_ms"": 1.051075, ""max_ms"": 1.0598560000000001, ""rel_diffs"": 0.008354303926932094, ""hbm_read_bytes"": 42012672, ""hbm_write_bytes"": 33554432, ""psum_read_bytes"": 397312, ""psum_write_bytes"": 4460544, ""sbuf_read_bytes"": 39719680, ""sbuf_write_bytes"": 42672512, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""hardware_flops"": 36507484160, ""transpose_flops"": 2147483648, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 454.6952138327281, ""hfu_estimated_percent"": 0.41965722467376765, ""scalar_engine_active_time_percent"": 0.1622360161963433, ""vector_engine_active_time_percent"": 0.17608570778044716, ""gpsimd_engine_active_time_percent"": 0.009242492227745605}",1.1584631326859245
bmm_B16_K64_M4096_N4096,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",2,"('bmm_B16_K64_M4096_N4096_ID0445d0b481d34ad5980e4a5f4c3528d6', 'plan_0_1')",eval-7-11-11-09-04-11-11-19-50,"{""latency"": 4.333209999999999, ""min_ms"": 4.3301490000000005, ""max_ms"": 4.334553, ""rel_diffs"": 0.00101705507131491, ""hbm_read_bytes"": 33619968, ""hbm_write_bytes"": 1073741824, ""psum_read_bytes"": 8650752, ""psum_write_bytes"": 17301504, ""sbuf_read_bytes"": 1095499776, ""sbuf_write_bytes"": 42270720, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""hardware_flops"": 70866960384, ""transpose_flops"": 2147483648, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 62.05693318340534, ""hfu_estimated_percent"": 0.17194556074312625, ""scalar_engine_active_time_percent"": 0.3932470344424538, ""vector_engine_active_time_percent"": 3.2595341571110096e-05, ""gpsimd_engine_active_time_percent"": 0.027618160026574325}",1.064081593091496
bmm_softmax_B16_K64_M4096_N4096,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",0,"('bmm_softmax_B16_K64_M4096_N4096_ID0', 'plan_8_0')",eval-8-11-11-09-04-11-11-16-50,"{""latency"": 11.999839, ""min_ms"": 11.995280000000001, ""max_ms"": 12.003632999999999, ""rel_diffs"": 0.0006963572338451319, ""hbm_read_bytes"": 794361856, ""hbm_write_bytes"": 1827405824, ""psum_read_bytes"": 16955392, ""psum_write_bytes"": 17334272, ""sbuf_read_bytes"": 1874298880, ""sbuf_write_bytes"": 819675136, ""spill_reload_bytes"": 756547584, ""spill_save_bytes"": 753664000, ""hardware_flops"": 70866960384, ""transpose_flops"": 2147483648, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 26.211123609548807, ""hfu_estimated_percent"": 0.06444901732439721, ""scalar_engine_active_time_percent"": 0.4341389563889465, ""vector_engine_active_time_percent"": 0.46378084812974335, ""gpsimd_engine_active_time_percent"": 0.010344506915400778}",0.9999812497484343
gqa_full_B1_D128_KH8_N4096_QH16,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",1,"('gqa_full_B1_D128_KH8_N4096_QH16_ID9902c57752e441898123db683fcf21aa', 'plan_10_0')",eval-4-11-11-09-04-11-11-18-30,"{""latency"": 17.272605, ""min_ms"": 17.220557, ""max_ms"": 17.283261, ""rel_diffs"": 0.00364122949100892, ""hbm_read_bytes"": 1466040320, ""hbm_write_bytes"": 81854464, ""psum_read_bytes"": 17432576, ""psum_write_bytes"": 51150848, ""sbuf_read_bytes"": 205066240, ""sbuf_write_bytes"": 1500254208, ""spill_reload_bytes"": 1002504192, ""spill_save_bytes"": 48300032, ""hardware_flops"": 418759311360, ""transpose_flops"": 143881404416, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 177.58177738261568, ""hfu_estimated_percent"": 0.26591973890074033, ""scalar_engine_active_time_percent"": 0.43156332972106687, ""vector_engine_active_time_percent"": 0.3414299579284205, ""gpsimd_engine_active_time_percent"": 0.0018545901757065658}",1.106405374290676
lora_K5120_M4096_N12288_R128,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",1,"('lora_K5120_M4096_N12288_R128_ID6ea6f74b25bb45e8b34ea6142806935a', 'plan_5_0')",eval-10-11-11-09-04-11-11-18-30,"{""latency"": 30.165788, ""min_ms"": 30.113508, ""max_ms"": 30.222230999999997, ""rel_diffs"": 0.003610439540952774, ""hbm_read_bytes"": 2341797888, ""hbm_write_bytes"": 1269563392, ""psum_read_bytes"": 4472832, ""psum_write_bytes"": 136057344, ""sbuf_read_bytes"": 1443963392, ""sbuf_write_bytes"": 2346270720, ""spill_reload_bytes"": 1907097600, ""spill_save_bytes"": 1068236800, ""hardware_flops"": 1114581762048, ""transpose_flops"": 47282388992, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 295.53935214590325, ""hfu_estimated_percent"": 0.40392455575144537, ""scalar_engine_active_time_percent"": 0.034458050717084916, ""vector_engine_active_time_percent"": 0.09819473001724384, ""gpsimd_engine_active_time_percent"": 0.0018334915446603062}",1.0000192933796392
mamba_C256_M7168_S16,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",1,"('mamba_C256_M7168_S16_ID445700ada6dd4daaab9a961cb6f46aea', 'plan_6_0')",eval-13-11-11-09-04-11-11-18-30,"{""latency"": 2.277542, ""min_ms"": 2.2729880000000002, ""max_ms"": 2.2823930000000003, ""rel_diffs"": 0.00413772532015132, ""hbm_read_bytes"": 126631936, ""hbm_write_bytes"": 7340032, ""psum_read_bytes"": 1835008, ""psum_write_bytes"": 1835008, ""sbuf_read_bytes"": 10093056, ""sbuf_write_bytes"": 129384448, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""hardware_flops"": 117440512, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 0.8766051118992295, ""hfu_estimated_percent"": 0.0005867708436267972, ""scalar_engine_active_time_percent"": 0.23821417650303459, ""vector_engine_active_time_percent"": 0.7835998706076757, ""gpsimd_engine_active_time_percent"": 0.0004888530066492978}",1.268324799279223
matmul_K5120_M4096_N12288,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",0,"('matmul_K5120_M4096_N12288_ID0', 'plan_0_0')",eval-3-11-11-09-04-11-11-16-50,"{""latency"": 35.309013, ""min_ms"": 35.254569, ""max_ms"": 35.386348, ""rel_diffs"": 0.0037379268485739155, ""hbm_read_bytes"": 9059762176, ""hbm_write_bytes"": 201326592, ""psum_read_bytes"": 9437184, ""psum_write_bytes"": 141557760, ""sbuf_read_bytes"": 390070272, ""sbuf_write_bytes"": 9069199360, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""hardware_flops"": 1159641169920, ""transpose_flops"": 128849018880, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 111.30356018200732, ""hfu_estimated_percent"": 0.35985802757514457, ""scalar_engine_active_time_percent"": 0.06811238167204679, ""vector_engine_active_time_percent"": 4.169103126144265e-06, ""gpsimd_engine_active_time_percent"": 0.0006856438856753911}",0.9969052944074082
matmul_add_rmsnorm_K2048_M4096_N2048,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",1,"('matmul_add_rmsnorm_K2048_M4096_N2048_ID4eef20b8a4cc40cc89f70a966cfcadc2', 'plan_2_0')",eval-1-11-11-09-04-11-11-18-30,"{""latency"": 2.6661639999999998, ""min_ms"": 2.661875, ""max_ms"": 2.668902, ""rel_diffs"": 0.002639868513735579, ""hbm_read_bytes"": 98115584, ""hbm_write_bytes"": 33554432, ""psum_read_bytes"": 1318912, ""psum_write_bytes"": 10493952, ""sbuf_read_bytes"": 49029888, ""sbuf_write_bytes"": 99959168, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""hardware_flops"": 85899870208, ""transpose_flops"": 17179869184, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 521.9107820568655, ""hfu_estimated_percent"": 0.3687091876026553, ""scalar_engine_active_time_percent"": 0.16786501653042124, ""vector_engine_active_time_percent"": 0.12411146465429972, ""gpsimd_engine_active_time_percent"": 0.0011344560008125955}",1.0001560294115441
rmsnorm_matmul_K1024_M4096_N2048,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",2,"('rmsnorm_matmul_K1024_M4096_N2048_IDa085ef2280b74154b0aaf9a26fdcdf0e', 'plan_7_0')",eval-5-11-11-09-04-11-11-19-28,"{""latency"": 0.9997230000000001, ""min_ms"": 0.996947, ""max_ms"": 1.003218, ""rel_diffs"": 0.006290203992789903, ""hbm_read_bytes"": 25231360, ""hbm_write_bytes"": 33554432, ""psum_read_bytes"": 393472, ""psum_write_bytes"": 4456704, ""sbuf_read_bytes"": 39846016, ""sbuf_write_bytes"": 26018048, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""hardware_flops"": 36507222016, ""transpose_flops"": 2147483648, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 584.4905239687848, ""hfu_estimated_percent"": 0.42046634874236605, ""scalar_engine_active_time_percent"": 0.1850644145130836, ""vector_engine_active_time_percent"": 0.04240694320621375, ""gpsimd_engine_active_time_percent"": 0.005118165821420725}",1.0560525265498542
